StudentID,Age,Gender,StudyHours,Marks
1,20,Male,1,50
2,21,Female,2,51
3,22,Male,3,52
4,23,Female,4,53
5,24,Male,5,54
6,20,Female,6,55
7,21,Male,1,56
8,22,Female,2,57
9,23,Male,3,58
10,24,Female,4,59
11,20,Male,5,60
12,21,Female,6,61
13,22,Male,1,62
14,23,Female,2,63
15,24,Male,3,64
16,20,Female,4,65
17,21,Male,5,66
18,22,Female,6,67
19,23,Male,1,68
20,24,Female,2,69
21,20,Male,3,70
22,21,Female,4,71
23,22,Male,5,72
24,23,Female,6,73
25,24,Male,1,74
26,20,Female,2,75
27,21,Male,3,76
28,22,Female,4,77
29,23,Male,5,78
30,24,Female,6,79
31,20,Male,1,80
32,21,Female,2,81
33,22,Male,3,82
34,23,Female,4,83
35,24,Male,5,84
36,20,Female,6,85
37,21,Male,1,86
38,22,Female,2,87
39,23,Male,3,88
40,24,Female,4,89
41,20,Male,5,90
42,21,Female,6,91
43,22,Male,1,92
44,23,Female,2,93
45,24,Male,3,94
46,20,Female,4,95
47,21,Male,5,96
48,22,Female,6,97
49,23,Male,1,98
50,24,Female,2,99
51,20,Male,3,50
52,21,Female,4,51
53,22,Male,5,52
54,23,Female,6,53
55,24,Male,1,54
56,20,Female,2,55
57,21,Male,3,56
58,22,Female,4,57
59,23,Male,5,58
60,24,Female,6,59
61,20,Male,1,60
62,21,Female,2,61
63,22,Male,3,62
64,23,Female,4,63
65,24,Male,5,64
66,20,Female,6,65
67,21,Male,1,66
68,22,Female,2,67
69,23,Male,3,68
70,24,Female,4,69
71,20,Male,5,70
72,21,Female,6,71
73,22,Male,1,72
74,23,Female,2,73
75,24,Male,3,74
76,20,Female,4,75
77,21,Male,5,76
78,22,Female,6,77
79,23,Male,1,78
80,24,Female,2,79
81,20,Male,3,80
82,21,Female,4,81
83,22,Male,5,82
84,23,Female,6,83
85,24,Male,1,84
86,20,Female,2,85
87,21,Male,3,86
88,22,Female,4,87
89,23,Male,5,88
90,24,Female,6,89
91,20,Male,1,90
92,21,Female,2,91
93,22,Male,3,92
94,23,Female,4,93
95,24,Male,5,94
96,20,Female,6,95
97,21,Male,1,96
98,22,Female,2,97
99,23,Male,3,98
100,24,Female,4,99
101,20,Male,5,50
102,21,Female,6,51
103,22,Male,1,52
104,23,Female,2,53
105,24,Male,3,54
106,20,Female,4,55
107,21,Male,5,56
108,22,Female,6,57
109,23,Male,1,58
110,24,Female,2,59
111,20,Male,3,60
112,21,Female,4,61
113,22,Male,5,62
114,23,Female,6,63
115,24,Male,1,64
116,20,Female,2,65
117,21,Male,3,66
118,22,Female,4,67
119,23,Male,5,68
120,24,Female,6,69
121,20,Male,1,70
122,21,Female,2,71
123,22,Male,3,72
124,23,Female,4,73
125,24,Male,5,74
126,20,Female,6,75
127,21,Male,1,76
128,22,Female,2,77
129,23,Male,3,78
130,24,Female,4,79
131,20,Male,5,80
132,21,Female,6,81
133,22,Male,1,82
134,23,Female,2,83
135,24,Male,3,84
136,20,Female,4,85
137,21,Male,5,86
138,22,Female,6,87
139,23,Male,1,88
140,24,Female,2,89
141,20,Male,3,90
142,21,Female,4,91
143,22,Male,5,92
144,23,Female,6,93
145,24,Male,1,94
146,20,Female,2,95
147,21,Male,3,96
148,22,Female,4,97
149,23,Male,5,98
150,24,Female,6,99
151,20,Male,1,50
152,21,Female,2,51
153,22,Male,3,52
154,23,Female,4,53
155,24,Male,5,54
156,20,Female,6,55
157,21,Male,1,56
158,22,Female,2,57
159,23,Male,3,58
160,24,Female,4,59
161,20,Male,5,60
162,21,Female,6,61
163,22,Male,1,62
164,23,Female,2,63
165,24,Male,3,64
166,20,Female,4,65
167,21,Male,5,66
168,22,Female,6,67
169,23,Male,1,68
170,24,Female,2,69
171,20,Male,3,70
172,21,Female,4,71
173,22,Male,5,72
174,23,Female,6,73
175,24,Male,1,74
176,20,Female,2,75
177,21,Male,3,76
178,22,Female,4,77
179,23,Male,5,78
180,24,Female,6,79
181,20,Male,1,80
182,21,Female,2,81
183,22,Male,3,82
184,23,Female,4,83
185,24,Male,5,84
186,20,Female,6,85
187,21,Male,1,86
188,22,Female,2,87
189,23,Male,3,88
190,24,Female,4,89
191,20,Male,5,90
192,21,Female,6,91
193,22,Male,1,92
194,23,Female,2,93
195,24,Male,3,94
196,20,Female,4,95
197,21,Male,5,96
198,22,Female,6,97
199,23,Male,1,98
200,24,Female,2,99
